variableId,parent_variable_id,parent_link_type,registry_layer,materialization_rule,category,subcategory,variableName,unit,unit_accession,value_type,observation_level,scaleName,scaleClass,system_id,source_table_hint,qc_recommended,notes,component,core_nm,in_bundle,is_pattern,pattern_band_values,pattern_light_source_values,light_source_names,pattern_filter_values,internal_codename_note,filter_notes,pattern_stat_values,stat_axis_semantics,acquisition_modality,acquisition_filter,signal_interpretation,roi_canonical,implementation_roi_alias,acquisition_unit,axis_definition,export_shape,traitName,traitAccNumber,traitMappingConfidence,traitEntity,traitEntityAccessionNumber,traitCharacteristic,traitCharacteristicAccessionNumber,methodName,methodDesc,methodRef,record_status,introduced_in_version,deprecated_in_version,replaced_by_variable_id
vnir.reflectance_spectrum.peri_root_350_900.{stat}.vector,vnir.reflectance_spectrum.peri_root_350_900,concept_family,authoring_template,expand_stat,hyperspectral,vnir_reflectance,Reflectance spectrum {stat} in peri-root region (349.9nm-899.1nm),a.u.,,array<float>,plant_timepoint,,,HADES:VNIR:REFLECTANCE_SPECTRUM_ROOT_350_900_STAT_VECTOR,HPX_HADES.py summary wide export (*_dilatedzone_summary_wide.csv),axis length should match exported nm columns in 349.9nm-899.1nm window;,ROI-level VNIR reflectance-mode spectra are modeled as vector-valued variables. The wavelength axis is carried in axis_definition. Actual range is approximately 349.9-899.1 nm.,external_pipeline,no,yes,no,,,,,"VNIR1 is reflectance, VNIR2 is emission",,"mean,sum,std",mean=mean spectrum across ROI pixels; sum=summed spectrum across ROI pixels; std=standard deviation spectrum across ROI pixels,vnir_hyperspectral,White light,,peri_root,dilation_zone_exclusive,,wavelength axis from exported nm columns within the 349.9nm-899.1nm window,vector,peri-root region reflectance spectrum,,none,peri-root region,,spectral intensity,PATO:0000049,VNIR ROI spectrum extraction,"VNIR hyperspectral cubes acquired under white-light illumination are dark- and white-corrected, spectrally smoothed, spatially denoised, horizontally flipped, and padded before ROI transfer. Root and peri-root masks are aligned to the cube using reference bands derived from leaf and root contrast, after which wavelength-resolved spectra are exported as ROI-level mean, sum, and standard-deviation vectors. In HADES, VNIR reflectance corresponds to the internal VNIR1 workflow.",HPX_HADES.py; PS Modular Utrecht_Hades_v6.pdf; Hades-Camera_tech_spec.pdf,active,0.0.4,,
vnir.reflectance_spectrum.root_350_900.{stat}.vector,vnir.reflectance_spectrum.root_350_900,concept_family,authoring_template,expand_stat,hyperspectral,vnir_reflectance,Reflectance spectrum {stat} in root region (349.9nm-899.1nm),a.u.,,array<float>,plant_timepoint,,,HADES:VNIR:REFLECTANCE_SPECTRUM_ROOT_350_900_STAT_VECTOR,HPX_HADES.py summary wide export (*_rootmask_summary_wide.csv),axis length should match exported nm columns in 349.9nm-899.1nm window;,ROI-level VNIR reflectance-mode spectra are modeled as vector-valued variables. The wavelength axis is carried in axis_definition. Actual range is approximately 349.9-899.1 nm.,external_pipeline,no,yes,no,,,,,"VNIR1 is reflectance, VNIR2 is emission",,"mean,sum,std",mean=mean spectrum across ROI pixels; sum=summed spectrum across ROI pixels; std=standard deviation spectrum across ROI pixels,vnir_hyperspectral,White light,,root,rootmask,,wavelength axis from exported nm columns within the 349.9nm-899.1nm window,vector,root region reflectance spectrum,,none,root region,PO:0009005,spectral intensity,PATO:0000049,VNIR ROI spectrum extraction,"VNIR hyperspectral cubes acquired under white-light illumination are dark- and white-corrected, spectrally smoothed, spatially denoised, horizontally flipped, and padded before ROI transfer. Root and peri-root masks are aligned to the cube using reference bands derived from leaf and root contrast, after which wavelength-resolved spectra are exported as ROI-level mean, sum, and standard-deviation vectors. In HADES, VNIR reflectance corresponds to the internal VNIR1 workflow.",HPX_HADES.py; PS Modular Utrecht_Hades_v6.pdf; Hades-Camera_tech_spec.pdf,active,0.0.4,,
vnir.pixel_spectra.peri_root_350_900.matrix,vnir.pixel_spectra.peri_root_350_900,concept_family,canonical_concrete,concrete_only,hyperspectral,vnir,Per-pixel spectra in peri-root region (349.9nm-899.1nm),a.u.,,matrix<float>,plant_timepoint,,,HADES:VNIR:PIXEL_SPECTRA_ROOT_350_900_MATRIX,HPX_HADES.py per-pixel export (*_dilatedzone_pixelspectra.csv|.npz),confirm x/y coordinates and wavelength columns are preserved; axis length should match exported nm columns in 349.9nm-899.1nm window; expect variable row count by ROI size (n_pixels),Per-pixel VNIR spectra are retained as matrix/tabular artifact entries and are not expanded into ordinary scalar variables.,external_pipeline,yes,no,no,,,,,"VNIR1 is reflectance, VNIR2 is emission",,,,vnir_hyperspectral,,,peri_root,dilation_zone_exclusive,,matrix rows = ROI pixels with x/y coordinates; columns = wavelength bands in exported nm columns within the 349.9nm-899.1nm window,matrix,peri-root region fluorescence pixel spectra,,none,peri-root region,,spectral intensity,PATO:0000049,VNIR per-pixel spectrum export,"Per-pixel VNIR spectra are exported together with x/y coordinates for all pixels inside the aligned ROI. The artifact may be written as CSV or compressed NPZ depending on export settings. This is a matrix-like tabular artifact rather than a single scalar observed variable. VNIR preprocessing follows the same ROI-transfer workflow used for ROI-level summaries, with UV excitation for emission mode and white-light acquisition for reflectance mode.",HPX_HADES.py; PS Modular Utrecht_Hades_v6.pdf; Hades-Camera_tech_spec.pdf,active,0.0.4,,
vnir.pixel_spectra.root_350_900.matrix,vnir.pixel_spectra.root_350_900,concept_family,canonical_concrete,concrete_only,hyperspectral,vnir,Per-pixel spectra in root region (349.9nm-899.1nm),a.u.,,matrix<float>,plant_timepoint,,,HADES:VNIR:PIXEL_SPECTRA_ROOT_350_900_MATRIX,HPX_HADES.py per-pixel export (*_rootmask_pixelspectra.csv|.npz),confirm x/y coordinates and wavelength columns are preserved; axis length should match exported nm columns in 349.9nm-899.1nm window; expect variable row count by ROI size (n_pixels),Per-pixel VNIR spectra are retained as matrix/tabular artifact entries and are not expanded into ordinary scalar variables.,external_pipeline,yes,no,no,,,,,"VNIR1 is reflectance, VNIR2 is emission",,,,vnir_hyperspectral,,,root,rootmask,,matrix rows = ROI pixels with x/y coordinates; columns = wavelength bands in exported nm columns within the 349.9nm-899.1nm window,matrix,root region fluorescence pixel spectra,,none,root region,PO:0009005,spectral intensity,PATO:0000049,VNIR per-pixel spectrum export,"Per-pixel VNIR spectra are exported together with x/y coordinates for all pixels inside the aligned ROI. The artifact may be written as CSV or compressed NPZ depending on export settings. This is a matrix-like tabular artifact rather than a single scalar observed variable. VNIR preprocessing follows the same ROI-transfer workflow used for ROI-level summaries, with UV excitation for emission mode and white-light acquisition for reflectance mode.",HPX_HADES.py; PS Modular Utrecht_Hades_v6.pdf; Hades-Camera_tech_spec.pdf,active,0.0.4,,
psi.fc.fo,psi.fc,concept_family,canonical_concrete,concrete_only,psi_vendor_analysis,fluorcam,Fo,a.u.,,float,plant_round,,,PSI:FC_PLANT:FO,FC*/Analysis/Fc_Plant.(xlsx|csv),,Definition governed by PSI/FluorCam protocol; refer to PSI FluorCam Operation Manual.,psi_export,no,yes,no,,,,,,,,,fluorcam_single_channel,,,plant,,,,scalar,plant baseline fluorescence intensity,,none,plant,PO:0000003,fluorescence intensity,PATO:0000049,PSI FluorCam vendor analysis,"Vendor-emitted fluorescence summary from PSI PlantScreen/PS Data Analyzer for the HADES FluorCam station. The underlying station is a bottom-view, light-isolated imaging box with a 12.36 MP monochrome CMOS sensor, multichannel excitation, and motorized emission filtering. This registry preserves the PSI-generated analysis value from the Fc_Plant table rather than recomputing it.",,active,0.0.4,,
psi.fc.fo_gauss,psi.fc,concept_family,canonical_concrete,concrete_only,psi_vendor_analysis,fluorcam,Fo_gauss,a.u.,,float,plant_round,,,PSI:FC_PLANT:FO_GAUSS,FC*/Analysis/Fc_Plant.(xlsx|csv),,Vendor-derived smoothing; PSI-defined.,psi_export,no,yes,no,,,,,,,,,fluorcam_single_channel,,,plant,,,,scalar,plant baseline fluorescence intensity,,none,plant,PO:0000003,fluorescence intensity,PATO:0000049,PSI FluorCam vendor analysis,"Vendor-emitted fluorescence summary from PSI PlantScreen/PS Data Analyzer for the HADES FluorCam station. The underlying station is a bottom-view, light-isolated imaging box with a 12.36 MP monochrome CMOS sensor, multichannel excitation, and motorized emission filtering. This registry preserves the PSI-generated analysis value from the Fc_Plant table rather than recomputing it.",,active,0.0.4,,
psi.fc.fo_median,psi.fc,concept_family,canonical_concrete,concrete_only,psi_vendor_analysis,fluorcam,Fo_median,a.u.,,float,plant_round,,,PSI:FC_PLANT:FO_MEDIAN,FC*/Analysis/Fc_Plant.(xlsx|csv),,Vendor-derived statistic; PSI-defined.,psi_export,no,yes,no,,,,,,,,,fluorcam_single_channel,,,plant,,,,scalar,plant baseline fluorescence intensity,,none,plant,PO:0000003,fluorescence intensity,PATO:0000049,PSI FluorCam vendor analysis,"Vendor-emitted fluorescence summary from PSI PlantScreen/PS Data Analyzer for the HADES FluorCam station. The underlying station is a bottom-view, light-isolated imaging box with a 12.36 MP monochrome CMOS sensor, multichannel excitation, and motorized emission filtering. This registry preserves the PSI-generated analysis value from the Fc_Plant table rather than recomputing it.",,active,0.0.4,,
psi.fc.kinetic.series,psi.fc,concept_family,canonical_concrete,matrix_no_expand,psi_vendor_analysis,fluorcam,"Kinetic columns (e.g., 16000000)",a.u.,,array<float>,plant_round,,,PSI:FC_KINETIC:SERIES,FC*/Analysis/Kinetic.(xlsx|csv),,Store as vector; axis labels are the wide-form column headers in the table.,psi_export,no,yes,no,,,,,,,,,fluorcam_single_channel,,,plant,,,time/frame axis from PSI Kinetic wide-form column headers,vector,plant fluorescence kinetic series,,none,plant,PO:0000003,fluorescence intensity over time,PATO:0000049,PSI FluorCam vendor analysis,"Vendor-emitted kinetic fluorescence series from PSI PlantScreen/PS Data Analyzer. The HADES FluorCam station supports protocol-defined fluorescence measurements, and the Kinetic table stores protocol/frame-dependent timepoint columns as exported by PSI rather than recomputed in this registry.",,active,0.0.4,,
psi.fc.size.px,psi.fc,concept_family,canonical_concrete,concrete_only,psi_vendor_analysis,fluorcam,Size,px,,int,plant_round,,,PSI:FC_PLANT:SIZE,FC*/Analysis/Fc_Plant.(xlsx|csv),>=0 integer;,Vendor-derived value retained for PSI export compatibility.,psi_export,no,yes,no,,,,,,,,,fluorcam_single_channel,,,plant,plant_mask,,,scalar,plant mask area,,none,plant,PO:0000003,area (pixel count),PATO:0001323,PSI FluorCam vendor analysis,"Vendor-emitted value from PSI PlantScreen/PS Data Analyzer fluorescence analysis tables for the HADES FluorCam station. The underlying station is a bottom-view, light-isolated imaging box with a 12.36 MP monochrome CMOS sensor, multichannel excitation, and motorized emission filtering. This variable preserves the Fc_Plant size output representing plant mask area in pixels.",,active,0.0.4,,
psi.vnir.avg_spectrum.vector,psi.vnir.avg_spectrum,concept_family,canonical_concrete,matrix_no_expand,psi_vendor_analysis,hyperspectral,"Hc_avgSpectrum wavelength columns (e.g., 349.9 â€¦ 899.12)",a.u.,,array<float>,plant_round,,,PSI:VNIR_AVG_SPECTRUM:VECTOR,VNIR*/Analysis/Hc_avgSpectrum.(xlsx|csv),,Store as vector; wavelength axis is the set of wide-form column headers (nm) in the table.,psi_export,no,yes,no,,,,,,,,,psi_vendor_vnir,,,root,psi_root_region_roi,,wavelength axis from PSI Hc_avgSpectrum column headers (nm),vector,PSI VNIR average spectrum,,none,plant,PO:0000003,spectral intensity,PATO:0000049,PSI VNIR vendor analysis,"Vendor-emitted average spectrum from PSI PlantScreen/PS Data Analyzer for the HADES VNIR hyperspectral unit. The unit records 350â€“900 nm data, uses 365 nm UV excitation for fluorescence mode, and uses white-light transmission mode for outline masking. Wavelength-axis columns from the Hc_avgSpectrum table are preserved as exported by PSI.",,active,0.0.4,,
psi.vnir.band.A{band_nm}.{stat},psi.vnir.band,concept_family,authoring_template,expand_band_x_stat,psi_vendor_analysis,hyperspectral,"A{band_nm}-{stat} (e.g., A570-avg)",a.u.,,float,plant_round,,,PSI:VNIR_PLANT:BAND_STAT,VNIR*/Analysis/Hc_Plant.(xlsx|csv),,"Pattern variable. Expand using band_nm in {440,480,490,570,625,680,720,750} and stat in {avg,stddev,median,min,max}. Authoring-layer template row; expand to concrete variable IDs before downstream export.",psi_export,no,yes,yes,"440,480,490,570,625,680,720,750",,,,PSI Hc_Plant band summary export from VNIR analysis tables,"Band token A{band_nm} is vendor-export header naming, not an emission-filter wheel designation.","avg,stddev,median,min,max",avg=mean intensity at wavelength band; stddev=standard deviation; median=median; min=minimum; max=maximum,psi_vendor_vnir,,,root,psi_root_region_roi,,single spectral band summarized by vendor export,scalar,PSI VNIR band intensity,,none,plant,PO:0000003,spectral intensity,PATO:0000049,PSI VNIR vendor analysis,"Vendor-emitted wavelength-specific summary statistics from PSI PlantScreen/PS Data Analyzer for the HADES VNIR hyperspectral unit. The unit records 350â€“900 nm data, uses 365 nm UV excitation for fluorescence mode, and uses white-light transmission mode for outline masking. Template rows preserve Hc_Plant band statistics exactly as exported by PSI.",,active,0.0.4,,
psi.vnir.size.{stat},psi.vnir.size,concept_family,authoring_template,expand_stat,psi_vendor_analysis,hyperspectral,"Size-{stat} (e.g., Size-avg)",px,,float,plant_round,,,PSI:VNIR_PLANT:SIZE_STAT,VNIR*/Analysis/Hc_Plant.(xlsx|csv),,"Pattern variable. Expand stat in {avg,stddev,median,min,max}. Authoring-layer template row; expand to concrete variable IDs before downstream export.",psi_export,no,yes,yes,,,,,,,"avg,stddev,median,min,max",avg=mean ROI size; stddev=standard deviation ROI size; median=median ROI size; min=minimum ROI size; max=maximum ROI size,psi_vendor_vnir,,,plant,psi_plant_region_roi,,,scalar,PSI VNIR ROI size,,none,plant,PO:0000003,area (pixel count),PATO:0001323,PSI VNIR vendor analysis,"Vendor-emitted ROI size statistics from PSI PlantScreen/PS Data Analyzer for the HADES VNIR hyperspectral unit. The unit records 350â€“900 nm data, uses 365 nm UV excitation for fluorescence mode, and uses white-light transmission mode for outline masking. Template rows preserve the Hc_Plant size statistics exactly as exported by PSI.",,active,0.0.4,,
seed.ellipse_fit_sse,seed.shape,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed shape - SSE,unitless,UO:0000186,float,seed,,,PSI:BOXEED:SEED_ELLIPSE_FIT_SSE,Seeding.(xlsx|csv) (Boxeed traits),>=0; check heavy tails,Vendor public output labels this parameter as seed shape â€“ SSE (sum of square errors). Exact ellipse-fit algorithm and normalization remain undisclosed.,psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed ellipse-fit error,TO:0000484,approx,seed,PO:0009010,shape / fit error,,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable records the vendor-reported ellipse-fit residual score.,,active,0.0.4,,
seed.fluorescence_intensity.percent,seed.fluorescence_intensity,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed Fluorescence intensity (%),%,UO:0000187,float,seed,,,PSI:BOXEED:SEED_FLUORESCENCE_INTENSITY_PCT,Seeding.(xlsx|csv) (Boxeed traits),,"Boxeed public documentation lists seed fluorescence intensity (%) only for the optional fluorescence module, not the standard base system. Exact excitation/emission settings and quantification algorithm are not publicly disclosed.",psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed fluorescence intensity,,approx,seed,PO:0009010,intensity,PATO:0000049,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable corresponds to the optional vendor fluorescence measurement reported as percent.,,active,0.0.4,,
seed.length.mm,seed.length,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed length,mm,UO:0000016,float,seed,,,PSI:BOXEED:SEED_LENGTH_MM,Seeding.(xlsx|csv) (Boxeed traits),>=0; plausible range by species; no NaN expected,,psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed length,TO:0000146,exact,seed,PO:0009010,length,PATO:0000122,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. The vendor reports this dimension in millimeters after image-based seed measurement.,,active,0.0.4,,
seed.length_area_ratio,seed.shape,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed shape - L/S ratio,unitless,UO:0000186,float,seed,ratio,Numerical,PSI:BOXEED:SEED_LENGTH_AREA_RATIO,Seeding.(xlsx|csv) (Boxeed traits),>0; check outliers,Length-to-area ratio exported by Boxeed as an elongation-oriented seed shape descriptor.,psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed shape elongation ratio,TO:0000484,approx,seed,PO:0009010,ratio (shape elongation),PATO:0001470,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable records the vendor-reported length-to-area ratio (L/S ratio).,,active,0.0.4,,
seed.major_axis_angle.deg,seed.major_axis_angle,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Axes angle,deg,UO:0000185,float,seed,,,PSI:BOXEED:SEED_MAJOR_AXIS_ANGLE_DEG,Seeding.(xlsx|csv) (Boxeed traits),"in [0,90]",Vendor public output labels this parameter as Axes angle. Exact angular convention and reference axis are not disclosed publicly.,psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed axes angle,,approx,seed,PO:0009010,orientation angle,PATO:0000133,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable records the vendor-reported major-axis orientation angle.,,active,0.0.4,,
seed.pixel_count.px,seed.pixel_count,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Pixel count,px,,int,seed,count,Numerical,PSI:BOXEED:SEED_PIXEL_COUNT,Seeding.(xlsx|csv) (Boxeed traits),>=0; integer; check outliers,"Raw unit label px is retained from the implementation, but the MIAPPE scale is normalized to count.",psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed pixel count,,none,seed,PO:0009010,count,PATO:0000070,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable records the vendor-reported segmented seed pixel count.,,active,0.0.4,,
seed.projected_area.px_per_mm2,seed.projected_area,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed area (px/mm2),px/mm2,,float,seed,,,PSI:BOXEED:SEED_PROJECTED_AREA_PX_PER_MM2,Seeding.(xlsx|csv) (Boxeed traits),>=0; check outliers,"Variable_id retained from implementation (`seed.projected_area.px_per_mm2`), while the public Boxeed documentation and the user-provided output image label this parameter as seed area / surface area (px/mm2). Exact vendor calculation details remain undisclosed.",psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed area,TO:0000391,approx,seed,PO:0009010,area,PATO:0001323,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable preserves the vendor-reported seed area quantity and unit label.,,active,0.0.4,,
seed.roundness,seed.shape,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed roundness,unitless,UO:0000186,float,seed,,,PSI:BOXEED:SEED_ROUNDNESS,Seeding.(xlsx|csv) (Boxeed traits),0<=roundness<=1 (if defined as circularity); check vendor definition; check outliers,Exact vendor formula is not publicly specified.,psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed roundness,TO:0000484,approx,seed,PO:0009010,shape (roundness),PATO:0000052,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. This variable records the vendor-reported roundness descriptor.,,active,0.0.4,,
seed.width.mm,seed.width,concept_family,canonical_concrete,concrete_only,seed_morphometrics,boxeed,Seed width,mm,UO:0000016,float,seed,,,PSI:BOXEED:SEED_WIDTH_MM,Seeding.(xlsx|csv) (Boxeed traits),>=0; plausible range by species; no NaN expected,,psi_export,yes,yes,no,,,,,,,,,boxeed_seed_imaging,,,,,,,scalar,seed width,TO:0000149,exact,seed,PO:0009010,width,PATO:0000921,Boxeed seed phenotyping,Image-based seed descriptor emitted by the integrated Boxeed module during pre-sowing seed phenotyping. The HADES preparation table uses a PSI-integrated Boxeed seeder for automated seed handling and stores vendor-reported seed descriptors for downstream use; the exact internal derivation algorithm is not publicly specified. The vendor reports this dimension in millimeters after image-based seed measurement.,,active,0.0.4,,
